student_id,name,age,experience_level,learning_style,interests,course_id,course_name,category,difficulty_level,ratings,num_reviews,time_spent_on_course,completion_status,video_id,video_topic,video_duration,time_watched,skip_count,pause_count,disengagement_score,watch_completion_rate,high_disengagement
9c19eea1-3955-4b62-90c4-379f6cd2edf7,Diana Black,40.0,Beginner,Kinesthetic,"Penetration Testing, React, Natural Language Processing",5a047616-93de-4000-af53-3b9b71f38925,Certified Ethical Hacker (CEH),Cybersecurity,Beginner,3.8,473.0,136.0,True,bf694642-ec34-4e49-891b-cceef145206d,Penetration Testing,225.0,194.0,0.0,2.0,0.12,0.8622222222222222,0
aa75e84a-1e26-42e1-b4ee-fba65d1c52f6,Peter Wright,31.0,Intermediate,Visual,"Serverless Architecture, Big Data",fa6c853d-7ffe-490c-9bfb-ad09f28de94a,Statistics for ML,Data Science,Intermediate,2.6,36.0,234.0,False,577ea2d0-967d-4ba0-8c05-0c6caca5c71d,Machine Learning,467.0,178.0,4.0,9.0,0.6,0.3811563169164882,0
b1eeae84-f4b3-489a-bf2b-5d290a690d80,Elizabeth Cohen,19.0,Intermediate,Visual,"Statistics, JavaScript, Neural Networks",ed8e6fb3-64f5-4e56-bdb6-dbf4e96ffe7a,Artificial Intelligence A-Z,AI,Intermediate,1.3,250.0,552.0,False,7fb6d538-5e91-40de-93fd-dd91dd75f5b8,Reinforcement Learning,338.0,87.0,8.0,3.0,0.71,0.257396449704142,1
41719f01-5446-4783-81a5-18e52ae15ac4,Miguel Owen,40.0,Advanced,Visual,"Ethical Hacking, React",e6d4d6f3-46f9-4671-95e1-67a63fe10be4,Advanced Penetration Testing,Cybersecurity,Advanced,2.8,335.0,177.0,True,9292f8ea-e457-462d-bce2-0b0ab564f953,Penetration Testing,51.0,32.0,2.0,2.0,0.32,0.6274509803921569,0
187ac969-cdb5-433f-a173-4612406681a1,Kevin Watson,49.0,Advanced,Auditory,"Computer Vision, HTML & CSS",bc9ea229-ee78-4c25-acde-ef33045eadcd,Computer Vision with OpenCV,AI,Advanced,3.2,240.0,320.0,False,eae20545-77db-4d00-8f0e-2a0988bdd494,Computer Vision,499.0,271.0,7.0,9.0,0.55,0.5430861723446894,0
63bf7597-9240-4e6b-83af-1a4dfdb4a98c,Amy Thompson,29.0,Intermediate,Visual,"Big Data, Cyber Threat Intelligence, Neural Networks",be0acd5f-8bc0-4d94-b593-0041f0913a47,Deep Learning with TensorFlow,Data Science,Beginner,3.4,137.0,320.0,False,79784bd9-68cb-430a-a765-1b8236d1565b,Machine Learning,93.0,20.0,6.0,8.0,0.75,0.21505376344086022,1
58b175ee-73c2-45bf-bb09-7c46502ae9dc,Kyle Williams,39.0,Intermediate,Auditory,"Google Cloud, Deep Learning",3d513fc8-0d27-43d4-a89d-1edbcf00b5ac,Deep Learning with TensorFlow,Data Science,Beginner,2.8,69.0,241.0,True,21faf853-86af-4242-ae75-9b45e6437e83,Machine Learning,407.0,273.0,3.0,8.0,0.37,0.6707616707616708,0
efd16d48-914c-495e-8e35-be86df4117c3,Jeffrey Shaw,28.0,Beginner,Reading/Writing,"Statistics, AWS",182fc828-41a5-40af-8ca9-4d4d83ab966f,AWS Certified Solutions Architect,Cloud Computing,Beginner,1.6,140.0,587.0,False,589f98f9-ad25-41a8-8066-d79bb0a3af6a,Kubernetes,149.0,33.0,0.0,5.0,0.59,0.2214765100671141,0
b23f7076-7f7f-4314-ac00-b6e0bb7c654e,Dr. Brian Mercer,45.0,Intermediate,Kinesthetic,"Big Data, Computer Vision, Azure",1314d878-68da-4a05-b997-45a40eb9d9e8,Python for Data Science,Data Science,Intermediate,3.0,319.0,522.0,True,007d1488-3cf0-4a5a-9b37-b6b5899b4798,Deep Learning,131.0,97.0,0.0,6.0,0.24,0.7404580152671756,0
c9399dc0-9f63-426a-a10b-06ddea2b4173,Sara Grant,19.0,Beginner,Kinesthetic,"Google Cloud, Machine Learning",2a7993b1-652c-4ac4-afc2-d674b3f3138f,Data Science Bootcamp,Data Science,Beginner,4.4,422.0,82.0,True,8d9be107-bb80-4b02-a658-00826489c392,Big Data,214.0,179.0,0.0,1.0,0.12,0.8364485981308412,0
